ts_code,industry,market,list_date
000001.SZ,银行,主板,19910403
000002.SZ,全国地产,主板,19910129
000063.SZ,通信设备,主板,19971118
000069.SZ,全国地产,主板,19970910
000100.SZ,元器件,主板,20040130
000157.SZ,工程机械,主板,20001012
000166.SZ,证券,主板,20150126
000301.SZ,化纤,主板,20000529
000333.SZ,家用电器,主板,20130918
000338.SZ,汽车配件,主板,20070430
000408.SZ,农药化肥,主板,19960628
000425.SZ,工程机械,主板,19960828
000538.SZ,中成药,主板,19931215
000568.SZ,白酒,主板,19940509
000596.SZ,白酒,主板,19960927
000617.SZ,多元金融,主板,19961022
000625.SZ,汽车整车,主板,19970610
000651.SZ,家用电器,主板,19961118
000661.SZ,生物制药,主板,19961218
000708.SZ,特种钢,主板,19970326
000723.SZ,焦炭加工,主板,19970515
000725.SZ,元器件,主板,20010112
000733.SZ,元器件,主板,19970703
000768.SZ,航空,主板,19970626
000776.SZ,证券,主板,19970611
000786.SZ,其他建材,主板,19970606
000792.SZ,农药化肥,主板,19970904
000800.SZ,汽车整车,主板,19970618
000858.SZ,白酒,主板,19980427
000876.SZ,饲料,主板,19980311
000877.SZ,水泥,主板,19990107
000895.SZ,食品,主板,19981210
000938.SZ,IT设备,主板,19991104
000963.SZ,化学制药,主板,20000127
000977.SZ,IT设备,主板,20000608
000983.SZ,煤炭开采,主板,20000726
000999.SZ,中成药,主板,20000309
001289.SZ,新型电力,主板,20220124
001979.SZ,全国地产,主板,20151230
002001.SZ,化学制药,主板,20040625
002007.SZ,生物制药,主板,20040625
002008.SZ,专用机械,主板,20040625
002027.SZ,广告包装,主板,20040804
002032.SZ,家用电器,主板,20040817
002049.SZ,半导体,主板,20050606
002050.SZ,家用电器,主板,20050607
002064.SZ,化纤,主板,20060823
002074.SZ,电气设备,主板,20061018
002120.SZ,仓储物流,主板,20070306
002129.SZ,电气设备,主板,20070420
002142.SZ,银行,主板,20070719
002179.SZ,元器件,主板,20071101
002180.SZ,IT设备,主板,20071113
002202.SZ,电气设备,主板,20071226
002230.SZ,软件服务,主板,20080512
002236.SZ,IT设备,主板,20080520
002241.SZ,元器件,主板,20080522
002252.SZ,生物制药,主板,20080623
002271.SZ,其他建材,主板,20080910
002304.SZ,白酒,主板,20091106
002311.SZ,饲料,主板,20091127
002352.SZ,仓储物流,主板,20100205
002371.SZ,半导体,主板,20100316
002410.SZ,软件服务,主板,20100525
002414.SZ,电器仪表,主板,20100716
002415.SZ,IT设备,主板,20100528
002459.SZ,电气设备,主板,20100810
002460.SZ,小金属,主板,20100810
002466.SZ,小金属,主板,20100831
002475.SZ,元器件,主板,20100915
002493.SZ,化纤,主板,20101102
002555.SZ,互联网,主板,20110302
002594.SZ,汽车整车,主板,20110630
002600.SZ,元器件,主板,20110715
002601.SZ,化工原料,主板,20110715
002602.SZ,互联网,主板,20110728
002603.SZ,中成药,主板,20110728
002648.SZ,化工原料,主板,20111228
002709.SZ,化工原料,主板,20140123
002714.SZ,农业综合,主板,20140128
002736.SZ,证券,主板,20141229
002756.SZ,小金属,主板,20150515
002812.SZ,电气设备,主板,20160914
002821.SZ,生物制药,主板,20161118
002841.SZ,元器件,主板,20170119
002916.SZ,元器件,主板,20171213
002920.SZ,汽车配件,主板,20171226
002938.SZ,元器件,主板,20180918
003816.SZ,新型电力,主板,20190826
300014.SZ,电气设备,创业板,20091030
300015.SZ,医疗保健,创业板,20091030
300033.SZ,软件服务,创业板,20091225
300059.SZ,证券,创业板,20100319
300122.SZ,生物制药,创业板,20100928
300124.SZ,电器仪表,创业板,20100928
300142.SZ,生物制药,创业板,20101112
300207.SZ,电气设备,创业板,20110421
300223.SZ,半导体,创业板,20110531
300274.SZ,电气设备,创业板,20111102
300308.SZ,通信设备,创业板,20120410
300316.SZ,专用机械,创业板,20120511
300347.SZ,医疗保健,创业板,20120817
300408.SZ,元器件,创业板,20141203
300413.SZ,影视音像,创业板,20150121
300433.SZ,元器件,创业板,20150318
300450.SZ,专用机械,创业板,20150518
300454.SZ,软件服务,创业板,20180516
300496.SZ,软件服务,创业板,20151210
300498.SZ,农业综合,创业板,20151102
300529.SZ,医疗保健,创业板,20160802
300595.SZ,医疗保健,创业板,20170117
300601.SZ,生物制药,创业板,20170207
300628.SZ,通信设备,创业板,20170317
300661.SZ,半导体,创业板,20170606
300750.SZ,电气设备,创业板,20180611
300751.SZ,专用机械,创业板,20181109
300759.SZ,化学制药,创业板,20190128
300760.SZ,医疗保健,创业板,20181016
300763.SZ,电气设备,创业板,20190319
300769.SZ,化工原料,创业板,20190415
300782.SZ,半导体,创业板,20190618
300896.SZ,医疗保健,创业板,20200928
300919.SZ,电气设备,创业板,20201223
